corruption_type,severity,online/rmse_loss,online/mae_loss,online/R2,online/r,online/model_dist,offline/rmse_loss,offline/mae_loss,offline/R2,offline/r,offline/model_dist
gaussian_noise,5,12.871654827418398,9.06033718492934,0.567303491449764,0.7560111339036156,0.22898602485656738,12.415456024731673,8.84555193392744,0.5974313299321539,0.7800875206907868,4.151205062866211
shot_noise,5,9.333029690737296,6.544617433031006,0.7725112545140271,0.8855351314034876,0.22876299917697906,9.187051726548697,6.418711934454756,0.7795719066487805,0.8893207673792691,3.2041993141174316
impulse_noise,5,14.4477941226158,10.348219817812698,0.4548478744557767,0.6794070780113479,0.22907619178295135,13.8328242215353,9.956585504113056,0.5002689466786558,0.7135067713998159,4.7773919105529785
defocus_blur,5,9.529214811795345,6.629335929260704,0.762846873181221,0.8923096500195093,0.2286744862794876,9.516421726815105,6.568751977430922,0.7634832075755167,0.8960115226033467,3.0215654373168945
motion_blur,5,6.186991772722774,4.112954561933137,0.9000290779053778,0.9574680518432455,0.22862891852855682,6.076740280549229,4.084431768746045,0.9035602733055534,0.9591951984012508,2.5764000415802
zoom_blur,5,6.784345309476173,4.529363201328834,0.8797927920484852,0.9417909433585202,0.2288920134305954,6.638143221030002,4.487143403290445,0.8849178790100795,0.9456143658521304,3.4610626697540283
snow,5,5.363714035890258,3.6327099207709344,0.9248643838789445,0.9649917641368763,0.228614941239357,5.395573122259998,3.644083856253955,0.9239691604556804,0.9665959932410587,2.369148015975952
fog,5,11.453391214950999,8.156830870333263,0.657403587189976,0.8183124873092749,0.22883762419223785,11.664335639105577,8.178997047036491,0.6446677411842785,0.8259093822747405,3.7375454902648926
brightness,5,12.279773790124874,8.14181475427125,0.6061821888166415,0.7936002489298973,0.22883574664592743,12.8664750263411,8.34271926413204,0.5676516721466132,0.7759636297168385,4.275970935821533
contrast,5,4.000514922826015,2.4682185654397806,0.9582028749618621,0.9810355365658856,0.22854205965995789,4.292613062721052,2.7067820113109047,0.9518764001975597,0.9812825754182098,2.3739750385284424
elastic_transform,5,7.090600786669978,4.956978106543978,0.868695173576951,0.9418049267234272,0.22861473262310028,6.959898656306252,4.848606652736764,0.8734912826285715,0.9444056580215741,2.7533011436462402
pixelate,5,8.273084470165626,5.590854711558743,0.8212485645398528,0.9158790997759528,0.22875823080539703,8.116116580251369,5.547502010388103,0.8279672332016702,0.9229489408956241,3.4068715572357178
jpeg_compression,5,10.656023946127116,7.22587122310694,0.7034451736716617,0.8473894214644494,0.22869636118412018,10.659751381475568,7.240108725743514,0.7032376699576393,0.847418010084732,3.623892068862915
